6	0.0005	16.43
6	0.001	13.69
6	0.002	11.95
6	0.003	10.89
6	0.004	10.21
6	0.005	9.73
6	0.006	9.4
6	0.007	9.11
6	0.008	8.87
6	0.009	8.68
6	0.01	8.52
6.1	0.0005	16.96
6.1	0.001	13.99
6.1	0.002	12.25
6.1	0.003	11.18
6.1	0.004	10.46
6.1	0.005	9.96
6.1	0.006	9.62
6.1	0.007	9.31
6.1	0.008	9.07
6.1	0.009	8.86
6.1	0.01	8.7
6.2	0.0005	17.52
6.2	0.001	14.35
6.2	0.002	12.58
6.2	0.003	11.53
6.2	0.004	10.76
6.2	0.005	10.21
6.2	0.006	9.85
6.2	0.007	9.55
6.2	0.008	9.27
6.2	0.009	9.05
6.2	0.01	8.88
6.3	0.0005	18.09
6.3	0.001	14.72
6.3	0.002	12.88
6.3	0.003	11.85
6.3	0.004	11.09
6.3	0.005	10.5
6.3	0.006	10.1
6.3	0.007	9.78
6.3	0.008	9.49
6.3	0.009	9.27
6.3	0.01	9.07
6.4	0.0005	18.77
6.4	0.001	15.26
6.4	0.002	13.2
6.4	0.003	12.18
6.4	0.004	11.43
6.4	0.005	10.8
6.4	0.006	10.37
6.4	0.007	10.01
6.4	0.008	9.74
6.4	0.009	9.49
6.4	0.01	9.29
6.5	0.0005	19.41
6.5	0.001	15.79
6.5	0.002	13.56
6.5	0.003	12.51
6.5	0.004	11.78
6.5	0.005	11.16
6.5	0.006	10.65
6.5	0.007	10.27
6.5	0.008	9.97
6.5	0.009	9.73
6.5	0.01	9.51
6.6	0.0005	20.11
6.6	0.001	16.3
6.6	0.002	13.92
6.6	0.003	12.84
6.6	0.004	12.14
6.6	0.005	11.5
6.6	0.006	10.99
6.6	0.007	10.57
6.6	0.008	10.26
6.6	0.009	9.98
6.6	0.01	9.75
6.7	0.0005	20.96
6.7	0.001	16.97
6.7	0.002	14.3
6.7	0.003	13.21
6.7	0.004	12.46
6.7	0.005	11.85
6.7	0.006	11.36
6.7	0.007	10.9
6.7	0.008	10.52
6.7	0.009	10.24
6.7	0.01	10
6.8	0.0005	21.83
6.8	0.001	17.55
6.8	0.002	14.78
6.8	0.003	13.58
6.8	0.004	12.83
6.8	0.005	12.2
6.8	0.006	11.71
6.8	0.007	11.26
6.8	0.008	10.86
6.8	0.009	10.53
6.8	0.01	10.26
6.9	0.0005	22.72
6.9	0.001	18.22
6.9	0.002	15.23
6.9	0.003	13.93
6.9	0.004	13.16
6.9	0.005	12.56
6.9	0.006	12.06
6.9	0.007	11.6
6.9	0.008	11.19
6.9	0.009	10.84
6.9	0.01	10.55
7	0.0005	23.4
7	0.001	19.05
7	0.002	15.86
7	0.003	14.33
7	0.004	13.51
7	0.005	12.92
7	0.006	12.41
7	0.007	11.99
7	0.008	11.56
7	0.009	11.19
7	0.01	10.87
7.1	0.0005	24.17
7.1	0.001	19.76
7.1	0.002	16.42
7.1	0.003	14.82
7.1	0.004	13.89
7.1	0.005	13.28
7.1	0.006	12.8
7.1	0.007	12.34
7.1	0.008	11.95
7.1	0.009	11.57
7.1	0.01	11.22
7.2	0.0005	24.95
7.2	0.001	20.46
7.2	0.002	17.07
7.2	0.003	15.31
7.2	0.004	14.31
7.2	0.005	13.63
7.2	0.006	13.15
7.2	0.007	12.72
7.2	0.008	12.34
7.2	0.009	11.95
7.2	0.01	11.59
7.3	0.0005	25.88
7.3	0.001	21.23
7.3	0.002	17.73
7.3	0.003	15.98
7.3	0.004	14.8
7.3	0.005	14.03
7.3	0.006	13.47
7.3	0.007	13.07
7.3	0.008	12.68
7.3	0.009	12.34
7.3	0.01	11.97
7.4	0.0005	26.83
7.4	0.001	22.14
7.4	0.002	18.48
7.4	0.003	16.59
7.4	0.004	15.32
7.4	0.005	14.47
7.4	0.006	13.85
7.4	0.007	13.39
7.4	0.008	13.02
7.4	0.009	12.68
7.4	0.01	12.36
7.5	0.0005	27.8
7.5	0.001	22.91
7.5	0.002	19.3
7.5	0.003	17.29
7.5	0.004	15.98
7.5	0.005	14.93
7.5	0.006	14.24
7.5	0.007	13.75
7.5	0.008	13.38
7.5	0.009	13.06
7.5	0.01	12.72
7.6	0.0005	28.94
7.6	0.001	23.88
7.6	0.002	20
7.6	0.003	18.01
7.6	0.004	16.63
7.6	0.005	15.49
7.6	0.006	14.7
7.6	0.007	14.16
7.6	0.008	13.73
7.6	0.009	13.38
7.6	0.01	13.06
7.7	0.0005	31.08
7.7	0.001	25.14
7.7	0.002	20.7
7.7	0.003	18.67
7.7	0.004	17.21
7.7	0.005	16.2
7.7	0.006	15.34
7.7	0.007	14.64
7.7	0.008	14.14
7.7	0.009	13.76
7.7	0.01	13.38
7.8	0.0005	33.3
7.8	0.001	26.25
7.8	0.002	21.45
7.8	0.003	19.39
7.8	0.004	17.96
7.8	0.005	16.87
7.8	0.006	15.87
7.8	0.007	15.23
7.8	0.008	14.62
7.8	0.009	14.14
7.8	0.01	13.72
7.9	0.0005	35.5
7.9	0.001	27.76
7.9	0.002	22.36
7.9	0.003	20.12
7.9	0.004	18.61
7.9	0.005	17.5
7.9	0.006	16.56
7.9	0.007	15.74
7.9	0.008	15.19
7.9	0.009	14.68
7.9	0.01	14.16
8	0.0005	37.66
8	0.001	29.11
8	0.002	23.13
8	0.003	20.88
8	0.004	19.35
8	0.005	18.15
8	0.006	17.26
8	0.007	16.38
8	0.008	15.79
8	0.009	15.16
8	0.01	14.69
8.1	0.0005	39.8
8.1	0.001	30.61
8.1	0.002	24.35
8.1	0.003	21.89
8.1	0.004	20.1
8.1	0.005	18.84
8.1	0.006	17.81
8.1	0.007	17.07
8.1	0.008	16.29
8.1	0.009	15.77
8.1	0.01	15.17
8.2	0.0005	41.92
8.2	0.001	32.62
8.2	0.002	25.72
8.2	0.003	22.75
8.2	0.004	20.87
8.2	0.005	19.6
8.2	0.006	18.51
8.2	0.007	17.75
8.2	0.008	16.98
8.2	0.009	16.35
8.2	0.01	15.78
8.3	0.0005	44.02
8.3	0.001	34.89
8.3	0.002	27.31
8.3	0.003	23.79
8.3	0.004	21.79
8.3	0.005	20.37
8.3	0.006	19.25
8.3	0.007	18.33
8.3	0.008	17.64
8.3	0.009	16.93
8.3	0.01	16.36
8.4	0.0005	46.09
8.4	0.001	36.85
8.4	0.002	28.89
8.4	0.003	24.96
8.4	0.004	22.9
8.4	0.005	21.2
8.4	0.006	20.03
8.4	0.007	19.09
8.4	0.008	18.4
8.4	0.009	17.56
8.4	0.01	16.94
8.5	0.0005	48.15
8.5	0.001	39.09
8.5	0.002	30.28
8.5	0.003	26.46
8.5	0.004	24.03
8.5	0.005	22.38
8.5	0.006	20.96
8.5	0.007	19.86
8.5	0.008	19.18
8.5	0.009	18.35
8.5	0.01	17.55
8.6	0.0005	49.89
8.6	0.001	41.03
8.6	0.002	32.17
8.6	0.003	27.75
8.6	0.004	25.21
8.6	0.005	23.56
8.6	0.006	21.92
8.6	0.007	20.8
8.6	0.008	19.96
8.6	0.009	19.16
8.6	0.01	18.38
6	0.012	8.39
6	0.015	8.02
6	0.02	7.99
6	0.03	7.18
6	0.04	6.71
6	0.05	6.26
8.7	0.0005	51.62
8.7	0.001	43.23
8.7	0.002	34.02
8.7	0.003	29.03
8.7	0.004	26.45
8.7	0.005	24.54
8.7	0.006	23.1
8.7	0.007	21.68
8.7	0.008	20.74
8.7	0.009	19.95
8.7	0.01	19.22
8.8	0.0005	53.05
8.8	0.001	45.42
8.8	0.002	36.12
8.8	0.003	30.6
8.8	0.004	27.68
8.8	0.005	25.74
8.8	0.006	24.08
8.8	0.007	22.87
8.8	0.008	21.58
8.8	0.009	20.88
8.8	0.01	20.16
8.9	0.0005	54.42
8.9	0.001	47.32
8.9	0.002	38.22
8.9	0.003	32.43
8.9	0.004	29.11
8.9	0.005	26.96
